StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q22,Q23,Q16_1,Q16_4,Q16_2,Q16_6,Q16_6_TEXT,Q17_1,Q17_3,Q17_4,Q17_6,Q17_6_TEXT,Q21
2022-11-11 09:02:11,2022-11-11 09:04:18,IP Address,*******,100,127,True,2022-11-11 09:04:18,R_1BY4y3Mj3fMKpXp,*******,*******,*******,*******,*******,*******,anonymous,EN,dgh82,No,,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-11 09:01:07,2022-11-11 09:05:11,IP Address,*******,100,243,True,2022-11-11 09:05:11,R_1fk16Ra8AwbmbIl,*******,*******,*******,*******,*******,*******,anonymous,EN,kv245,Yes,It did not show the right number of responses in total on my ‘current’ screen,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,"Others, please specify","Comment questions rather than just remarks, for other people to respond to",,,Add links to profiles of whom left comments,,,"I really enjoyed the project, but when I had a technical error uploading three weeks in a row my motivation really went down, because it took me so much time. Now that it worked for two weeks in a row I am more motivated again"
2022-11-11 09:04:19,2022-11-11 09:05:35,IP Address,*******,100,75,True,2022-11-11 09:05:35,R_3LXrLOX0iasn8Sy,*******,*******,*******,*******,*******,*******,anonymous,EN,mbh222,No,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-11 09:04:55,2022-11-11 09:07:32,IP Address,*******,100,157,True,2022-11-11 09:07:33,R_2qwtMzIMHtcjJEA,*******,*******,*******,*******,*******,*******,anonymous,EN,yis5,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-11 09:09:27,2022-11-11 09:11:19,IP Address,*******,100,111,True,2022-11-11 09:11:19,R_XBqeke3Ib9Uzygh,*******,*******,*******,*******,*******,*******,anonymous,EN,ese47,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 09:10:53,2022-11-11 09:15:09,IP Address,*******,100,255,True,2022-11-11 09:15:10,R_3RdCv966hd2jjQU,*******,*******,*******,*******,*******,*******,anonymous,EN,mrm397,Yes,"After I write a comment and click submit, that comment stays in the text box",Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-11 09:19:25,2022-11-11 09:20:51,IP Address,*******,100,85,True,2022-11-11 09:20:51,R_3oFQipCrk5LMiC4,*******,*******,*******,*******,*******,*******,anonymous,EN,sn528,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,Add links to profiles of whom left comments,,,
2022-11-11 09:26:05,2022-11-11 09:29:37,IP Address,*******,100,211,True,2022-11-11 09:29:37,R_3OiUWXXqq2zVs76,*******,*******,*******,*******,*******,*******,anonymous,EN,akw67,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 09:27:54,2022-11-11 09:31:15,IP Address,*******,100,201,True,2022-11-11 09:31:16,R_3J4KtYdYkjeCGhK,*******,*******,*******,*******,*******,*******,anonymous,EN,cql2,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,N/A
2022-11-11 09:31:31,2022-11-11 09:32:56,IP Address,*******,100,85,True,2022-11-11 09:32:56,R_2TQV7GayJjO0DM8,*******,*******,*******,*******,*******,*******,anonymous,EN,Ac2332,No,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,No
2022-11-11 09:36:25,2022-11-11 09:37:33,IP Address,*******,100,68,True,2022-11-11 09:37:34,R_cuLn59DiRYBVlwB,*******,*******,*******,*******,*******,*******,anonymous,EN,ss3298,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-11 09:39:24,2022-11-11 09:40:27,IP Address,*******,100,62,True,2022-11-11 09:40:27,R_3R3lF5bouk6kNug,*******,*******,*******,*******,*******,*******,anonymous,EN,Kl983,No,,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-11 09:34:47,2022-11-11 09:46:30,IP Address,*******,100,702,True,2022-11-11 09:46:30,R_1Q0hrchsQTkQ14Z,*******,*******,*******,*******,*******,*******,anonymous,EN,jcy54,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,,"Others, please specify",None,,,,"Others, please specify",None,
2022-11-11 09:46:29,2022-11-11 09:47:13,IP Address,*******,100,43,True,2022-11-11 09:47:13,R_2wty0CBuNubz987,*******,*******,*******,*******,*******,*******,anonymous,EN,msr268,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,,Should randomly comment to posts in the same topic,,,,,,Add links to profiles of whom left comments,,,
2022-11-11 09:48:46,2022-11-11 09:50:01,IP Address,*******,100,75,True,2022-11-11 09:50:01,R_28GJiZOFinOE8w9,*******,*******,*******,*******,*******,*******,anonymous,EN,Tma62,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 10:13:34,2022-11-11 10:15:41,IP Address,*******,100,127,True,2022-11-11 10:15:41,R_2Sdf7imEB7vmF6N,*******,*******,*******,*******,*******,*******,anonymous,EN,crd229,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,,,"Others, please specify",N/A,,,,"Others, please specify",N/A,N/A
2022-11-11 12:50:40,2022-11-11 12:52:32,IP Address,*******,100,112,True,2022-11-11 12:52:33,R_1ohk7I3CnoPTQPA,*******,*******,*******,*******,*******,*******,anonymous,EN,rmg294,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,,,Should comment to posts that are not commented yet,"Others, please specify",1 comment can be made on a post with no comments. and the other comment we have free choice,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-11 13:12:48,2022-11-11 13:14:11,IP Address,*******,100,83,True,2022-11-11 13:14:12,R_2B975COd7FrWPze,*******,*******,*******,*******,*******,*******,anonymous,EN,"dgh83 ",No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 10:39:01,2022-11-11 13:15:16,IP Address,*******,100,9375,True,2022-11-11 13:15:17,R_12fOriPpfVnuKSO,*******,*******,*******,*******,*******,*******,anonymous,EN,yl3262,No,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 13:18:22,2022-11-11 13:19:47,IP Address,*******,100,84,True,2022-11-11 13:19:47,R_1C880TUBbx4gFdd,*******,*******,*******,*******,*******,*******,anonymous,EN,jj526,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,,Add links to profiles of whom left comments,,,
2022-11-11 12:36:14,2022-11-11 13:49:55,IP Address,*******,100,4420,True,2022-11-11 13:49:55,R_BV7V2igEPB9LTa1,*******,*******,*******,*******,*******,*******,anonymous,EN,lc739,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-11 14:37:14,2022-11-11 14:38:06,IP Address,*******,100,52,True,2022-11-11 14:38:06,R_2y3CC3MV8bfNGeQ,*******,*******,*******,*******,*******,*******,anonymous,EN,jrk297,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-11 14:48:30,2022-11-11 14:50:49,IP Address,*******,100,138,True,2022-11-11 14:50:49,R_2aWhiuKRVOMt2tq,*******,*******,*******,*******,*******,*******,anonymous,EN,cml324,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-11 18:08:36,2022-11-11 18:15:54,IP Address,*******,100,437,True,2022-11-11 18:15:54,R_2e83oqAw36KhAYC,*******,*******,*******,*******,*******,*******,anonymous,EN,iym4,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-11 18:29:37,2022-11-11 18:31:25,IP Address,*******,100,108,True,2022-11-11 18:31:25,R_2wbsINRtqWDlCzS,*******,*******,*******,*******,*******,*******,anonymous,EN,Llw62,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,No
2022-11-11 23:12:33,2022-11-11 23:13:46,IP Address,*******,100,73,True,2022-11-11 23:13:47,R_2WVemMfq40vf3Tr,*******,*******,*******,*******,*******,*******,anonymous,EN,bt283,Yes,My comment count keeps resetting :(,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-12 09:59:17,2022-11-12 10:01:30,IP Address,*******,100,133,True,2022-11-12 10:01:31,R_2QxlsVuyZk7RmHr,*******,*******,*******,*******,*******,*******,anonymous,EN,jzt5,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-12 10:13:13,2022-11-12 10:14:36,IP Address,*******,100,82,True,2022-11-12 10:14:36,R_1NagEcEggNlcgNZ,*******,*******,*******,*******,*******,*******,anonymous,EN,ly375,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-12 11:29:50,2022-11-12 11:34:55,IP Address,*******,100,305,True,2022-11-12 11:34:56,R_2YM9mf2PWzzb5LR,*******,*******,*******,*******,*******,*******,anonymous,EN,pa292,Yes,"When posting comments, the comment box does not clear after posting my comment. This makes it very confusing for the user to know whether or not their comment posted.",Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,"I enjoyed participating in this project, as I do think it enhanced my experience in the class and allowed for deeper understanding of the topics."
2022-11-12 11:51:07,2022-11-12 11:52:11,IP Address,*******,100,64,True,2022-11-12 11:52:12,R_Amv2Gzgd0jtImzv,*******,*******,*******,*******,*******,*******,anonymous,EN,hr262,No,,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,.
2022-11-12 12:24:51,2022-11-12 12:26:32,IP Address,*******,100,100,True,2022-11-12 12:26:32,R_3EaKS62n3eTXVng,*******,*******,*******,*******,*******,*******,anonymous,EN,esc82,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,N/A
2022-11-11 12:36:14,2022-11-12 13:04:56,IP Address,*******,100,88121,True,2022-11-12 13:04:57,R_10OvbQGUslRgNlp,*******,*******,*******,*******,*******,*******,anonymous,EN,ajk276,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,,Add links to profiles of whom left comments,,,
2022-11-12 14:19:50,2022-11-12 14:20:30,IP Address,*******,100,39,True,2022-11-12 14:20:30,R_yIUj6bn4OcEArvP,*******,*******,*******,*******,*******,*******,anonymous,EN,shl235,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-12 14:34:05,2022-11-12 14:35:58,IP Address,*******,100,112,True,2022-11-12 14:35:58,R_3s4bM7p8Ech4Qq2,*******,*******,*******,*******,*******,*******,anonymous,EN,nam97,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-12 15:34:29,2022-11-12 15:35:20,IP Address,*******,100,50,True,2022-11-12 15:35:20,R_1H6LzcUIkp7hIqt,*******,*******,*******,*******,*******,*******,anonymous,EN,dmk289,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-12 15:55:08,2022-11-12 15:57:02,IP Address,*******,100,114,True,2022-11-12 15:57:03,R_2V2tRO9gQbh9AjK,*******,*******,*******,*******,*******,*******,anonymous,EN,ecs273,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-12 16:48:59,2022-11-12 16:51:19,IP Address,*******,100,139,True,2022-11-12 16:51:19,R_3qP9zuYZXIKEnZk,*******,*******,*******,*******,*******,*******,anonymous,EN,cjp222,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,no
2022-11-12 18:17:18,2022-11-12 18:18:41,IP Address,*******,100,83,True,2022-11-12 18:18:41,R_3qR8XGhLUv2Rsgl,*******,*******,*******,*******,*******,*******,anonymous,EN,dmf236,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-12 19:07:02,2022-11-12 19:08:31,IP Address,*******,100,89,True,2022-11-12 19:08:32,R_1CJVHtaa2QN26jC,*******,*******,*******,*******,*******,*******,anonymous,EN,fs369,No,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-12 19:39:09,2022-11-12 19:59:22,IP Address,*******,100,1213,True,2022-11-12 19:59:22,R_3KSHvNRCobOUyGk,*******,*******,*******,*******,*******,*******,anonymous,EN,ave23,No,,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-13 04:16:20,2022-11-13 04:18:05,IP Address,*******,100,104,True,2022-11-13 04:18:05,R_3k5MbFzl9f84KM6,*******,*******,*******,*******,*******,*******,anonymous,EN,mg2265,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,,,,n/A
2022-11-13 05:58:57,2022-11-13 06:01:15,IP Address,*******,100,137,True,2022-11-13 06:01:15,R_31nOb2Y40BNrtkl,*******,*******,*******,*******,*******,*******,anonymous,EN,"mcd237 ",No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-13 08:55:18,2022-11-13 08:56:35,IP Address,*******,100,76,True,2022-11-13 08:56:35,R_2f9RcNXXHsbMECJ,*******,*******,*******,*******,*******,*******,anonymous,EN,ep443,No,,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,,Should randomly comment to posts in the same topic,,,,,,Add links to profiles of whom left comments,,,
2022-11-13 09:18:16,2022-11-13 09:20:03,IP Address,*******,100,107,True,2022-11-13 09:20:04,R_29prI59nrbXMxvK,*******,*******,*******,*******,*******,*******,anonymous,EN,cs2338,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-13 10:45:29,2022-11-13 10:46:42,IP Address,*******,100,72,True,2022-11-13 10:46:42,R_2PbO4FdxcFtJUqT,*******,*******,*******,*******,*******,*******,anonymous,EN,mnr34,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,Default post order in “community” page should be organized by random rather than by time,,Add links to profiles of whom left comments,,,
2022-11-13 11:30:57,2022-11-13 11:33:46,IP Address,*******,100,168,True,2022-11-13 11:33:46,R_1BVkN93DhmRL7B7,*******,*******,*******,*******,*******,*******,anonymous,EN,jc2539,No,,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-13 13:03:21,2022-11-13 13:04:58,IP Address,*******,100,96,True,2022-11-13 13:04:58,R_1HpfEABGPbmnqKQ,*******,*******,*******,*******,*******,*******,anonymous,EN,Emf227,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-13 13:20:43,2022-11-13 13:22:03,IP Address,*******,100,79,True,2022-11-13 13:22:03,R_2WI1FCsrFB3VBKk,*******,*******,*******,*******,*******,*******,anonymous,EN,mm2577,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-13 14:29:03,2022-11-13 14:30:23,IP Address,*******,100,79,True,2022-11-13 14:30:23,R_27d6kna13UkfUbS,*******,*******,*******,*******,*******,*******,anonymous,EN,ajk275,No,,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,Add links to profiles of whom left comments,,,
2022-11-13 14:38:41,2022-11-13 14:40:05,IP Address,*******,100,83,True,2022-11-13 14:40:05,R_7TWGaqH4uqqZWUh,*******,*******,*******,*******,*******,*******,anonymous,EN,nrb84,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,,Add links to profiles of whom left comments,,,
2022-11-13 14:50:25,2022-11-13 14:52:05,IP Address,*******,100,100,True,2022-11-13 14:52:06,R_1fjQXkLGmsu7cc0,*******,*******,*******,*******,*******,*******,anonymous,EN,jw832,No,,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,,Should randomly comment to posts in the same topic,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
